mode_id,lens_name,alpha,tau,seed,trial,mismatch_tv,idem_tv,macro_drift_tv,delta_tv,K,m,N,lam,gamma
FM1_macro_preserved_micro_funnel,std,,1,3,32,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,33,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,34,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,35,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,36,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,37,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,38,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,39,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,40,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,41,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,42,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,43,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,44,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,45,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,46,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,47,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,48,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,49,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,0,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,1,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,2,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,3,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,4,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,5,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,6,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,7,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,8,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,9,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,10,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,11,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,12,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,13,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,14,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,15,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,16,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,17,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,18,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,19,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,20,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,21,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,22,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,23,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,24,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,25,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,26,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,27,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,28,0.9000000000000007,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,29,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,30,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,31,0.9000000000000008,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,32,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,33,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,34,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,35,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,36,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,37,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,38,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,39,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,40,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,41,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,42,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,43,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,44,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,45,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,46,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,47,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,48,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,4,49,0.9000000000000001,,,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,0,,0.08625707136102724,0.08625707136102724,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,1,,0.08394364225435444,0.08394364225435445,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,2,,0.1528892990075528,0.15288929900755277,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,3,,0.16242714449307488,0.16242714449307488,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,4,,0.17392007903579568,0.17392007903579573,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,5,,0.1270919011191869,0.12709190111918686,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,6,,0.303684934977802,0.30368493497780213,,6,10,60,0.2,0.7
FM2_bad_completion_nonsection,std,,0,0,7,,0.16958809455779764,0.16958809455779755,,6,10,60,0.2,0.7
