seed,Nbin,s,t,delta_route,delta_closure_idem,delta_iter,mean0,var0
90,401,0.8,0.36,0.16457522158763996,1.1605255320357313e-16,0.09215561741868662,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.38,0.1713789622091604,1.627429944897003e-16,0.09563575728628233,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.4,0.1780301100974731,2.3579888474122425e-16,0.09896567472595655,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.42,0.18445945945635447,2.332227531461585e-16,0.10216332057909261,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.44,0.1908604005468269,9.98665079702621e-17,0.10521757729409013,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.46,0.1970462175610096,1.2051869323664903e-16,0.108147814647502,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.48,0.2032930464237244,1.2586118149788812e-16,0.11094296328444084,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.5,0.2091477930277519,1.1206379564561382e-16,0.1136213753197922,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.52,0.21517305280931542,1.081091841033407e-16,0.1161707512310991,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.54,0.22081067691177453,1.9074256853369764e-16,0.11861384175857533,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.56,0.22560688990844183,1.8018951739275432e-16,0.1209335533758724,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.58,0.23160898328378413,1.8255272608070402e-16,0.12315361082108633,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.6,0.23792793510480298,1.1756798779043968e-16,0.12525758830478662,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.62,0.243224155975304,8.663618420639494e-17,0.12726972390072233,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.64,0.248620208148766,1.6923902251109153e-16,0.12917310699939188,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.66,0.25359247180922273,6.225792747481594e-17,0.13099073102863582,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.68,0.2574880176632466,4.861017528663003e-17,0.13270665172335727,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.7000000000000001,0.26384902200911725,1.7042174520325455e-16,0.13434245013883706,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.72,0.26895378747563836,1.6292554613675366e-10,0.13588402964865082,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.74,0.2737910235380793,1.3460656221939692e-10,0.13735072602428774,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.76,0.2774126546256118,1.1125012274085812e-10,0.13873313180163274,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.78,0.28262336534760657,9.197669908475041e-11,0.14004386487413362,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.8,0.28804976361121937,7.606755147997601e-11,0.14127852467178786,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.8200000000000001,0.2920446160659452,6.293084475001097e-11,0.1424445651289693,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.84,0.29565161679151925,5.208007582627538e-11,0.1435449157299661,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.86,0.30144014698027155,4.311452745662681e-11,0.14458038187252462,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.88,0.30523653209662827,3.570466399007967e-11,0.14555819972790462,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.9,0.5026301705236607,1.9910695271338485e-16,0.20258500517639233,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.92,0.5037199723299612,8.451906912516037e-13,0.20334389909885353,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.9400000000000001,0.5039186682599318,6.705436038237714e-14,0.20402581566704636,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.96,0.5033641257872032,2.503849720874446e-15,0.2046540968721607,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.98,0.5043477513145858,2.0368235364390946e-14,0.20522249483975613,-0.3638934714502493,0.07408241069471527
90,401,0.8,1.0,0.5047224884477282,1.067973021216112e-15,0.20572389840903044,-0.3638934714502493,0.07408241069471527
