case_id,seed,trial,Nx,Nv,omega,tau,delta,delta_correct,delta_wrong,delta_missing,delta_extended,u_err,e_err_missing,e_err_extended
FM1_low_omega_strong_gradient,50,61,16,3,0.0,2,0.3158349479221717,,,,,,,
FM1_low_omega_strong_gradient,50,61,16,3,0.0,5,0.48522538110940105,,,,,,,
FM1_low_omega_strong_gradient,50,61,16,3,0.0,10,0.6052024236152703,,,,,,,
FM1_low_omega_strong_gradient,50,62,16,3,0.0,2,0.3212895407526982,,,,,,,
FM1_low_omega_strong_gradient,50,62,16,3,0.0,5,0.490522933913686,,,,,,,
FM1_low_omega_strong_gradient,50,62,16,3,0.0,10,0.6169960987751613,,,,,,,
FM1_low_omega_strong_gradient,50,63,16,3,0.0,2,0.31837303911166603,,,,,,,
FM1_low_omega_strong_gradient,50,63,16,3,0.0,5,0.48017654465624326,,,,,,,
FM1_low_omega_strong_gradient,50,63,16,3,0.0,10,0.6150926289167047,,,,,,,
FM1_low_omega_strong_gradient,50,64,16,3,0.0,2,0.31814330792371126,,,,,,,
FM1_low_omega_strong_gradient,50,64,16,3,0.0,5,0.48046078608802856,,,,,,,
FM1_low_omega_strong_gradient,50,64,16,3,0.0,10,0.6037889295984167,,,,,,,
FM1_low_omega_strong_gradient,50,65,16,3,0.0,2,0.32117820053106294,,,,,,,
FM1_low_omega_strong_gradient,50,65,16,3,0.0,5,0.49758067572352516,,,,,,,
FM1_low_omega_strong_gradient,50,65,16,3,0.0,10,0.6119613416421196,,,,,,,
FM1_low_omega_strong_gradient,50,66,16,3,0.0,2,0.31869568544190746,,,,,,,
FM1_low_omega_strong_gradient,50,66,16,3,0.0,5,0.4811499334478919,,,,,,,
FM1_low_omega_strong_gradient,50,66,16,3,0.0,10,0.6044428869772613,,,,,,,
FM1_low_omega_strong_gradient,50,67,16,3,0.0,2,0.3164523127159283,,,,,,,
FM1_low_omega_strong_gradient,50,67,16,3,0.0,5,0.4821318253516443,,,,,,,
FM1_low_omega_strong_gradient,50,67,16,3,0.0,10,0.611208524372634,,,,,,,
FM1_low_omega_strong_gradient,50,68,16,3,0.0,2,0.3153747616666228,,,,,,,
FM1_low_omega_strong_gradient,50,68,16,3,0.0,5,0.48389332660727535,,,,,,,
FM1_low_omega_strong_gradient,50,68,16,3,0.0,10,0.607978017347353,,,,,,,
FM1_low_omega_strong_gradient,50,69,16,3,0.0,2,0.3235314167970843,,,,,,,
FM1_low_omega_strong_gradient,50,69,16,3,0.0,5,0.4942207471465204,,,,,,,
FM1_low_omega_strong_gradient,50,69,16,3,0.0,10,0.6218214765224354,,,,,,,
FM1_low_omega_strong_gradient,50,70,16,3,0.0,2,0.3167280848973494,,,,,,,
FM1_low_omega_strong_gradient,50,70,16,3,0.0,5,0.4842254433059758,,,,,,,
FM1_low_omega_strong_gradient,50,70,16,3,0.0,10,0.6086462202520804,,,,,,,
FM1_low_omega_strong_gradient,50,71,16,3,0.0,2,0.3113201093689056,,,,,,,
FM1_low_omega_strong_gradient,50,71,16,3,0.0,5,0.47638796965367336,,,,,,,
FM1_low_omega_strong_gradient,50,71,16,3,0.0,10,0.6050413348808403,,,,,,,
FM1_low_omega_strong_gradient,50,72,16,3,0.0,2,0.3176047984715133,,,,,,,
FM1_low_omega_strong_gradient,50,72,16,3,0.0,5,0.48423694080012014,,,,,,,
FM1_low_omega_strong_gradient,50,72,16,3,0.0,10,0.6046907493026048,,,,,,,
FM1_low_omega_strong_gradient,50,73,16,3,0.0,2,0.31501943675462274,,,,,,,
FM1_low_omega_strong_gradient,50,73,16,3,0.0,5,0.48730311884059674,,,,,,,
FM1_low_omega_strong_gradient,50,73,16,3,0.0,10,0.608930280087287,,,,,,,
FM1_low_omega_strong_gradient,50,74,16,3,0.0,2,0.31608705545086047,,,,,,,
FM1_low_omega_strong_gradient,50,74,16,3,0.0,5,0.4743042943575322,,,,,,,
FM1_low_omega_strong_gradient,50,74,16,3,0.0,10,0.5887593152437928,,,,,,,
FM1_low_omega_strong_gradient,50,75,16,3,0.0,2,0.3143277006688909,,,,,,,
FM1_low_omega_strong_gradient,50,75,16,3,0.0,5,0.4895741289081107,,,,,,,
FM1_low_omega_strong_gradient,50,75,16,3,0.0,10,0.6091000108063842,,,,,,,
FM1_low_omega_strong_gradient,50,76,16,3,0.0,2,0.30784006227163185,,,,,,,
FM1_low_omega_strong_gradient,50,76,16,3,0.0,5,0.4808327530821349,,,,,,,
FM1_low_omega_strong_gradient,50,76,16,3,0.0,10,0.600715244006112,,,,,,,
FM1_low_omega_strong_gradient,50,77,16,3,0.0,2,0.3201873303305406,,,,,,,
FM1_low_omega_strong_gradient,50,77,16,3,0.0,5,0.4840514418343477,,,,,,,
FM1_low_omega_strong_gradient,50,77,16,3,0.0,10,0.6062950408115189,,,,,,,
FM1_low_omega_strong_gradient,50,78,16,3,0.0,2,0.31369106771090605,,,,,,,
FM1_low_omega_strong_gradient,50,78,16,3,0.0,5,0.49434147697739617,,,,,,,
FM1_low_omega_strong_gradient,50,78,16,3,0.0,10,0.6092422352005799,,,,,,,
FM1_low_omega_strong_gradient,50,79,16,3,0.0,2,0.31171008954517015,,,,,,,
FM1_low_omega_strong_gradient,50,79,16,3,0.0,5,0.4845436833251863,,,,,,,
FM1_low_omega_strong_gradient,50,79,16,3,0.0,10,0.6068329165502984,,,,,,,
FM1_low_omega_strong_gradient,50,80,16,3,0.0,2,0.3169322061145893,,,,,,,
FM1_low_omega_strong_gradient,50,80,16,3,0.0,5,0.49063974476771943,,,,,,,
FM1_low_omega_strong_gradient,50,80,16,3,0.0,10,0.6150642733611735,,,,,,,
FM1_low_omega_strong_gradient,50,81,16,3,0.0,2,0.316169804316445,,,,,,,
FM1_low_omega_strong_gradient,50,81,16,3,0.0,5,0.49037264311118156,,,,,,,
FM1_low_omega_strong_gradient,50,81,16,3,0.0,10,0.6106204065121337,,,,,,,
FM1_low_omega_strong_gradient,50,82,16,3,0.0,2,0.3199497054181539,,,,,,,
FM1_low_omega_strong_gradient,50,82,16,3,0.0,5,0.4857697265386325,,,,,,,
FM1_low_omega_strong_gradient,50,82,16,3,0.0,10,0.6127911119913472,,,,,,,
FM1_low_omega_strong_gradient,50,83,16,3,0.0,2,0.3142204699002457,,,,,,,
FM1_low_omega_strong_gradient,50,83,16,3,0.0,5,0.49183585097969085,,,,,,,
FM1_low_omega_strong_gradient,50,83,16,3,0.0,10,0.6250004825544433,,,,,,,
FM1_low_omega_strong_gradient,50,84,16,3,0.0,2,0.31886420118078984,,,,,,,
FM1_low_omega_strong_gradient,50,84,16,3,0.0,5,0.48428832309692543,,,,,,,
FM1_low_omega_strong_gradient,50,84,16,3,0.0,10,0.6111855673432036,,,,,,,
FM1_low_omega_strong_gradient,50,85,16,3,0.0,2,0.3173429130517901,,,,,,,
FM1_low_omega_strong_gradient,50,85,16,3,0.0,5,0.4835318652990849,,,,,,,
FM1_low_omega_strong_gradient,50,85,16,3,0.0,10,0.6094272960529905,,,,,,,
