seed,M,mu0,s,t,mean_micro,y_mean,mismatch,abs_mismatch
80,20000,0.3,0.6000000000000001,0.27,0.3348149343961877,0.2628769810963899,0.0719379532997978,0.0719379532997978
80,20000,0.3,0.6000000000000001,0.28,0.3387650824538087,0.26356984554945073,0.07519523690435798,0.07519523690435798
80,20000,0.3,0.6000000000000001,0.29,0.3427759305330306,0.2642663720180178,0.07850955851501284,0.07850955851501284
80,20000,0.3,0.6000000000000001,0.3,0.3468494462885247,0.26496658961144376,0.08188285667708095,0.08188285667708095
80,20000,0.3,0.6000000000000001,0.31,0.3509876723312882,0.2656705277484215,0.08531714458286671,0.08531714458286671
80,20000,0.3,0.6000000000000001,0.32,0.3551927302375301,0.2663782161611035,0.0888145140764266,0.0888145140764266
80,20000,0.3,0.6000000000000001,0.33,0.35946682480695197,0.2670896848992886,0.09237713990766339,0.09237713990766339
80,20000,0.3,0.6000000000000001,0.34,0.3638122485893794,0.2678049643346747,0.09600728425470467,0.09600728425470467
80,20000,0.3,0.6000000000000001,0.35000000000000003,0.36823138670034566,0.26852408516518134,0.09970730153516433,0.09970730153516433
80,20000,0.3,0.6000000000000001,0.36,0.3727267219480388,0.26924707841934087,0.10347964352869793,0.10347964352869793
80,20000,0.3,0.6000000000000001,0.37,0.37730084029601885,0.2699739754607615,0.10732686483525733,0.10732686483525733
80,20000,0.3,0.6000000000000001,0.38,0.3819564366883062,0.2707048079926627,0.11125162869564348,0.11125162869564348
80,20000,0.3,0.6000000000000001,0.39,0.3866963212658681,0.2714396080624843,0.11525671320338382,0.11525671320338382
80,20000,0.3,0.6000000000000001,0.4,0.3915234260062062,0.2721784080665709,0.11934501793963531,0.11934501793963531
80,20000,0.3,0.6000000000000001,0.41000000000000003,0.39644081182071084,0.27292124075493324,0.1235195710657776,0.1235195710657776
80,20000,0.3,0.6000000000000001,0.42,0.4014516761477241,0.2736681392360873,0.1277835369116368,0.1277835369116368
80,20000,0.3,0.6000000000000001,0.43,0.4065593610828876,0.27441913698197357,0.13214022410091403,0.13214022410091403
80,20000,0.3,0.6000000000000001,0.44,0.4117673620923811,0.27517426783295723,0.13659309425942384,0.13659309425942384
80,20000,0.3,0.6000000000000001,0.45,0.4170793373591395,0.27593356600291113,0.14114577135622836,0.14114577135622836
80,20000,0.3,0.6000000000000001,0.46,0.42249911781711835,0.27669706608438316,0.1458020517327352,0.1458020517327352
80,20000,0.3,0.6000000000000001,0.47000000000000003,0.4280307179342253,0.27746480305385,0.1505659148803753,0.1505659148803753
80,20000,0.3,0.6000000000000001,0.48,0.43367834731073274,0.2782368122770579,0.15544153503367486,0.15544153503367486
80,20000,0.3,0.6000000000000001,0.49,0.4394464231668946,0.27901312951445334,0.16043329365244124,0.16043329365244124
80,20000,0.3,0.6000000000000001,0.5,0.44533958380123057,0.2797937909267051,0.16554579287452548,0.16554579287452548
80,20000,0.3,0.6000000000000001,0.51,0.45136270310960136,0.2805788330803184,0.17078387002928297,0.17078387002928297
80,20000,0.3,0.6000000000000001,0.52,0.45752090626491543,0.2813682929533449,0.1761526133115705,0.1761526133115705
80,20000,0.3,0.6000000000000001,0.53,0.46381958666822865,0.2821622079411885,0.18165737872704013,0.18165737872704013
80,20000,0.3,0.6000000000000001,0.54,0.47026442429427817,0.28296061586251015,0.18730380843176803,0.18730380843176803
80,20000,0.3,0.6000000000000001,0.55,0.47686140556834045,0.2837635549652331,0.19309785060310736,0.19309785060310736
80,20000,0.3,0.6000000000000001,0.56,0.48361684492692675,0.2845710639326508,0.19904578099427594,0.19904578099427594
80,20000,0.3,0.6000000000000001,0.5700000000000001,0.49053740823250563,0.285383181889639,0.20515422634286662,0.20515422634286662
80,20000,0.3,0.6000000000000001,0.58,0.4976301382324524,0.28619994840897506,0.21143018982347733,0.21143018982347733
80,20000,0.3,0.6000000000000001,0.59,0.5049024822751469,0.28702140351776556,0.21788107875738133,0.21788107875738133
80,20000,0.3,0.6000000000000001,0.6,0.5123623225219543,0.2878475877039856,0.22451473481796874,0.22451473481796874
80,20000,0.3,0.6000000000000001,0.61,0.5200180089232391,0.28867854192313036,0.23133946700010877,0.23133946700010877
80,20000,0.3,0.6000000000000001,0.62,0.5278783952601267,0.28951430760498326,0.23836408765514344,0.23836408765514344
80,20000,0.3,0.6000000000000001,0.63,0.5359528785920981,0.2903549266605014,0.24559795193159667,0.24559795193159667
80,20000,0.3,0.6000000000000001,0.64,0.5442514424944916,0.2912004414888213,0.25305100100567035,0.25305100100567035
80,20000,0.3,0.6000000000000001,0.65,0.55278470452048,0.2920508949843879,0.2607338095360921,0.2607338095360921
80,20000,0.3,0.6000000000000001,0.66,0.5615639683802041,0.2929063305442082,0.26865763783599583,0.26865763783599583
80,20000,0.3,0.6000000000000001,0.67,0.5706012813967962,0.2937667920752332,0.276834489321563,0.276834489321563
80,20000,0.3,0.6000000000000001,0.68,0.5799094978765188,0.29463232400187017,0.2852771738746486,0.2852771738746486
80,20000,0.3,0.6000000000000001,0.6900000000000001,0.589502349120079,0.2955029712736283,0.29399937784645075,0.29399937784645075
80,20000,0.3,0.6000000000000001,0.7000000000000001,0.5993945209065588,0.2963787793728997,0.30301574153365907,0.30301574153365907
80,20000,0.3,0.6000000000000001,0.71,0.6096017394029762,0.29725979432288024,0.312341945080096,0.312341945080096
80,20000,0.3,0.6000000000000001,0.72,0.6201408665945228,0.29814606269563104,0.3219948038988918,0.3219948038988918
80,20000,0.3,0.6000000000000001,0.73,0.6310300064968581,0.2990376316202852,0.33199237487657296,0.33199237487657296
